App,Rating,Installs,Price,"DSLU (days since dec 1, 202)",Reviews,Size,Type,Current Ver,Android Ver,Category,Genres,Content Rating
"Police Lights, Sirens & Follow Me",4.5,100000,0,1637,737,8.9,Free,2.3.5.1,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Police Detector (Speed Camera Radar),4.3,1000000,0,1611,3574,3.9,Free,1.6,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone 10+
Best Car Wallpapers,4.5,100000,0,1710,994,2.9,Free,1.6,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Tickets + PDA 2018 Exam,4.9,1000000,0,1600,197136,3.80E+07,Free,8.31,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Pick Your Part Garage,3.9,50000,0,1591,142,3.20E+07,Free,1.1.5.0,6.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
PakWheels: Buy & Sell Cars,4.4,1000000,0,1588,15168,3.70E+07,Free,10.0.2,4.2 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Supervision service,4,500000,0,1585,2155,1.50E+07,Free,1.10.3,5.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Speed Camera Detector - Traffic & Speed Alert,4.3,100000,0,1592,138,5.4,Free,1,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Used car search Goo net whole car Go to net,3.7,1000000,0,1592,5414,1.80E+07,Free,3.20.1,4.4 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
BEST CAR SOUNDS,4.3,100000,0,1586,348,3.80E+07,Free,1.0.3,2.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
RST - Sale of cars on the PCT,3.2,100000,0,1679,250,1.1,Free,1.4,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
SMS Park,4.5,100000,0,1660,3617,7.9,Free,2.8.2,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
SKencar,3.7,1000000,0,1584,4806,3.50E+07,Free,4.0.3,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
auto fines,4.6,1000000,0,1582,31433,1.70E+07,Free,1.4,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
"Used car is the first car - used car purchase, used car quotation, dealer information to",4.6,1000000,0,1592,5097,1.90E+07,Free,1.5.18,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),4,500000,0,1643,1754,1.40E+07,Free,2.3.4,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Inquiry Fines and Debits of Vehicles,4.4,500000,0,1717,2680,2.2,Free,1.03,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Gas Station,4,100000,0,1685,1288,4.5,Free,2.17,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Hush - Beauty for Everyone,4.7,500000,0,1582,18900,1.70E+07,Free,6.10.1,5.0 and up,BEAUTY,Beauty,Everyone
"ipsy: Makeup, Beauty, and Tips",4.9,1000000,0,1848,49790,1.40E+07,Free,2.3.0,4.1 and up,BEAUTY,Beauty,Everyone
Natural recipes for your beauty,4.7,100000,0,1661,1150,9.8,Free,4,4.1 and up,BEAUTY,Beauty,Everyone
"BestCam Selfie-selfie, beauty camera, photo editor",3.9,500000,0,1603,1739,2.10E+07,Free,1.0.6,4.0.3 and up,BEAUTY,Beauty,Everyone
Beauty Selfie Camera,4.2,500000,0,1737,2225,5.20E+07,Free,1.6,4.1 and up,BEAUTY,Beauty,Everyone
Hairstyles step by step,4.6,100000,0,1590,4369,1.40E+07,Free,1.9,4.0.3 and up,BEAUTY,Beauty,Everyone
Filters for Selfie,4.3,1000000,0,1666,8572,2.50E+07,Free,1.1.0,4.0 and up,BEAUTY,Beauty,Everyone
Tie - Always be happy,4.7,50000,0,1624,964,9,Free,4,4.2 and up,BEAUTY,Beauty,Everyone
Prom MakeUp Tutorial,4.8,10000,0,1619,104,1.20E+07,Free,1.3,4.0.3 and up,BEAUTY,Beauty,Everyone
Sweet Selfie Beauty Camera,4.3,100000,0,1643,601,3.50E+07,Free,2.0.0,4.0 and up,BEAUTY,Beauty,Everyone
Colors of white in Urdu,4.5,10000,0,1589,36,6.7,Free,6,4.0 and up,BEAUTY,Beauty,Everyone
Selfie Camera Photo Editor & Filter & Sticker,4.1,50000,0,1591,187,3.00E+07,Free,3.0.1,4.0.3 and up,BEAUTY,Beauty,Teen
Eyes Makeup Beauty Tips,4.2,10000,0,1697,30,2.9,Free,3.3.9,4.0.3 and up,BEAUTY,Beauty,Everyone
Photo Editor 2018,4.5,10000,0,1736,134,1.70E+07,Free,1.2,4.0.3 and up,BEAUTY,Beauty,Everyone
Step By Step Eyes Makeup Tutorial,4.4,10000,0,1701,74,2.9,Free,2.3.09,4.0.3 and up,BEAUTY,Beauty,Everyone
Mirror Camera (Mirror + Selfie Camera),4.1,1000000,0,1836,9315,2.6,Free,1.4.2,4.0 and up,BEAUTY,Beauty,Everyone
Beauty Tips - Beauty Tips in Sinhala,4.4,50000,0,1870,75,4.2,Free,1.0.0,4.0.3 and up,BEAUTY,Beauty,Everyone
Haircut Tutorials/Haircut Videos,4.6,10000,0,1647,38,7.1,Free,1,4.0 and up,BEAUTY,Beauty,Everyone
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",4.5,1000000,0,1591,26834,5.70E+07,Free,18.5,5.0 and up,BEAUTY,Beauty,Everyone
"Sticker Camera - Selfie Filters, Beauty Camera",3.9,500000,0,1603,2277,2.20E+07,Free,1.1.0,4.0.3 and up,BEAUTY,Beauty,Everyone
Filters for B Live,4.4,500000,0,1662,2280,2.40E+07,Free,1.1.0,4.0 and up,BEAUTY,Beauty,Everyone
Facial Wrinkle Reduction,4.6,10000,0,1613,184,2.10E+07,Free,1.5,4.1 and up,BEAUTY,Beauty,Everyone
Makeup Videos,3.8,5000,0,1638,9,3.4,Free,1,4.0 and up,BEAUTY,Beauty,Everyone
Discover Color,4,100000,0,1652,364,6.4,Free,1.1,4.0.3 and up,BEAUTY,Beauty,Everyone
Eyeliner step by step 2018,4.3,5000,0,1644,18,3.2,Free,1.2.13,4.0.3 and up,BEAUTY,Beauty,Everyone
Dresses Ideas & Fashions +3000,4.5,100000,0,2101,473,8.2,Free,1.0.2.0,1.6 and up,BEAUTY,Beauty,Mature 17+
Step By Step Hairstyles For Women,4.1,10000,0,1701,66,2.9,Free,3.1.89,4.0.3 and up,BEAUTY,Beauty,Everyone
Rainbow Camera,3.7,1000000,0,1585,3871,2.30E+07,Free,2.2.0,4.0 and up,BEAUTY,Beauty,Everyone
Methods of teeth whitening,4.7,50000,0,1942,257,4.6,Free,1,4.0.3 and up,BEAUTY,Beauty,Everyone
Girls hairstyles 2018,4.2,10000,0,1648,62,3.1,Free,1.9.2,4.0.3 and up,BEAUTY,Beauty,Everyone
E-Book Read - Read Book for free,4.5,50000,0,1581,1857,4.9,Free,1.3.2,4.4 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Download free book with green book,4.6,100000,0,1949,4478,9.5,Free,1.1,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone 10+
Free Panda Radio Music,4.5,100000,0,1710,418,4.2,Free,2.1,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Book store,4.4,1000000,0,1639,22486,5.4,Free,3.2.1,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Teen
English Grammar Complete Handbook,4.6,500000,0,1775,1435,2.8,Free,1,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Free Books - Spirit Fanfiction and Stories,4.8,1000000,0,1583,116507,5,Free,2.0.075,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Teen
AlReader -any text book reader,4.6,5000000,0,1649,90468,5.9,Free,1.91180527,2.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Offline English Dictionary,4.2,100000,0,1598,860,1.30E+07,Free,1,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Oxford Dictionary of English : Free,4.1,10000000,0,1604,363934,7.1,Free,9.1.363,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Offline: English to Tagalog Dictionary,4.7,500000,0,1580,967,6.7,Free,1.1.6,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
FamilySearch Tree,4.3,1000000,0,1595,17506,1.70E+07,Free,2.3.18,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Cloud of Books,3.3,1000000,0,1679,1862,1.90E+07,Free,2.2.5,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Recipes of Prophetic Medicine for free,4.6,500000,0,1659,2084,6.7,Free,15,2.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
ReadEra â€“ free ebook reader,4.8,1000000,0,1643,47303,2.10E+07,Free,18.05.31+530,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Ebook Reader,4.1,5000000,0,1620,85842,3.70E+07,Free,5.0.6,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Litnet - E-books,4.6,100000,0,1611,7831,1.50E+07,Free,1.2.3,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Teen
Read books online,4.1,5000000,0,1616,91615,2.30E+07,Free,3.12,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Mature 17+
English to Urdu Dictionary,4.6,500000,0,1834,4620,1.90E+07,Free,2,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
eBoox: book reader fb2 epub zip,4.7,1000000,0,1625,21336,2.30E+07,Free,1.28,3.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
English Persian Dictionary,4.5,500000,0,1583,26875,7.30E+07,Free,6.0.8,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Flybook,3.9,500000,0,2968,1778,4.9,Free,1.0.3,2.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Mature 17+
All Maths Formulas,4.4,1000000,0,1604,2709,6.8,Free,1.9,4.4 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
English translation from Bengali,4.5,100000,0,1706,527,2.9,Free,14,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Pdf Book Download - Read Pdf Book,4.4,100000,0,1648,1322,3.5,Free,6,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Free Book Reader,3.4,100000,0,2294,1680,4,Free,3.05,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
eBoox new: Reader for fb2 epub zip books,4.9,50000,0,1598,2739,2.10E+07,Free,2,3.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
"Only 30 days in English, the guideline is guaranteed",4.6,500000,0,1629,1065,2.3,Free,1.5,3.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
English-Myanmar Dictionary,4.4,1000000,0,1587,8788,1.00E+07,Free,2.5.3,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Golden Dictionary (EN-AR),4.4,1000000,0,1596,51269,6.1,Free,7.0.4.6,4.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
All Language Translator Free,4.4,1000000,0,1586,30105,2.1,Free,1.15,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Azpen eReader,3.5,500000,0,1750,156,4.20E+07,Free,3.1.7.9,2.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
English Dictionary - Offline,4.4,10000000,0,1717,341157,3.00E+07,Free,3.9.1,4.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone 10+
ADP Mobile Solutions,4.3,5000000,0,1598,85185,2.90E+07,Free,3.4.2,5.0 and up,BUSINESS,Business,Everyone
OfficeSuite : Free Office + PDF Editor,4.3,100000000,0,1582,1002861,3.50E+07,Free,9.7.14188,4.1 and up,BUSINESS,Business,Everyone
USPS MOBILEÂ®,3.9,1000000,0,1631,16589,9.1,Free,4.9.10,4.0.3 and up,BUSINESS,Business,Everyone
Job Search by ZipRecruiter,4.8,1000000,0,1596,148945,2.50E+07,Free,5.2.8,5.0 and up,BUSINESS,Business,Everyone
Curriculum vitae App CV Builder Free Resume Maker,4.5,500000,0,1607,4458,3.9,Free,3.3,4.1 and up,BUSINESS,Business,Everyone
Google Primer,4.4,10000000,0,1619,62272,1.80E+07,Free,3.550.2,4.1 and up,BUSINESS,Business,Everyone
Alba Heaven - Alvarez Job Portal Services,4,5000000,0,1584,8941,1.20E+07,Free,4.6.30,4.0.3 and up,BUSINESS,Business,Everyone
SuperLivePro,4.3,1000000,0,2423,46353,2.10E+07,Free,2.8,1.5 and up,BUSINESS,Business,Everyone
Polaris Office for LG,4.2,5000000,0,1757,30847,5.50E+07,Free,7.3.21,4.1 and up,BUSINESS,Business,Everyone
Call Blocker,4.6,5000000,0,1624,188841,3.2,Free,1.1.13,4.0 and up,BUSINESS,Business,Everyone
Plugin:AOT v5.0,3.1,100000,0,2638,4034,23000,Free,3.0.1.11 (Build 311),2.2 and up,BUSINESS,Business,Everyone
Kariyer.net,3.9,1000000,0,1597,45964,1.60E+07,Free,5.1.5,4.1 and up,BUSINESS,Business,Everyone
Become a Job - Find a job or advertise,4.1,1000000,0,1605,6903,1.40E+07,Free,2.3.6,4.1 and up,BUSINESS,Business,Everyone
ZOOM Cloud Meetings,4.4,10000000,0,1595,31614,3.70E+07,Free,4.1.28165.0716,4.0 and up,BUSINESS,Business,Everyone
"IndiaMART: Search Products, Buy, Sell & Trade",4.5,5000000,0,1582,207372,1.10E+07,Free,12.2.4,4.0 and up,BUSINESS,Business,Everyone
ViettelPost express delivery,4.4,100000,0,1583,1225,2.50E+07,Free,1.0.6.8,4.1 and up,BUSINESS,Business,Everyone
MyASUS - Service Center,4.4,10000000,0,1611,380837,7.3,Free,3.4.5,4.2 and up,BUSINESS,Business,Everyone
Job Korea - Career Jobs,4.3,1000000,0,1583,10600,6.5,Free,2.5.6,4.0 and up,BUSINESS,Business,Everyone
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",4.4,1000000,0,1588,74359,2.50E+07,Free,1.12.5,4.0 and up,BUSINESS,Business,Everyone
Myanmar 2D/3D,4.6,100000,0,1637,822,3.1,Free,1.5,4.0.3 and up,BUSINESS,Business,Everyone
sABN,4.4,1000000,0,1711,2287,1.5,Free,4.9,2.2 and up,BUSINESS,Business,Everyone
ATI Cargoes and Transportation,4.7,100000,0,1591,4162,7.5,Free,0.9.4,4.0.3 and up,BUSINESS,Business,Everyone
Secure Folder,3.8,50000000,0,1765,14760,8.6,Free,1.1.07.6,7.0 and up,BUSINESS,Business,Everyone
Tiny Scanner - PDF Scanner App,4.7,10000000,0,2011,286897,3.90E+07,Free,1.2.6,3.0 and up,BUSINESS,Business,Everyone
Fast Scanner : Free PDF Scan,4.5,10000000,0,1604,103755,1.40E+07,Free,3.9.2,4.1 and up,BUSINESS,Business,Everyone
Mobile Doc Scanner (MDScan) Lite,4.2,1000000,0,1582,46505,1.90E+07,Free,3.4.49,4.1 and up,BUSINESS,Business,Everyone
TurboScan: scan documents and receipts in PDF,4.7,100000,4.99,1712,11442,6.8,Paid,1.5.2,4.0 and up,BUSINESS,Business,Everyone
Tiny Scanner Pro: PDF Doc Scan,4.8,100000,4.99,2060,10295,3.90E+07,Paid,3.4.6,3.0 and up,BUSINESS,Business,Everyone
Zenefits,4.2,50000,0,1630,296,1.40E+07,Free,3.2.1,4.1 and up,BUSINESS,Business,Everyone
Google Ads,4.3,5000000,0,1585,29313,2.00E+07,Free,1.12.0,4.0.3 and up,BUSINESS,Business,Everyone
FreshBooks Classic,4.1,100000,0,1688,1802,2.60E+07,Free,1.7.14,4.2 and up,BUSINESS,Business,Everyone
Insightly CRM,3.8,100000,0,1603,1383,5.10E+07,Free,3.24.1,5.0 and up,BUSINESS,Business,Everyone
QuickBooks Accounting: Invoicing & Expenses,4.3,1000000,0,1602,23175,4.10E+07,Free,18.7,4.1 and up,BUSINESS,Business,Everyone
HipChat - Chat Built for Teams,3.8,500000,0,1612,5868,2.00E+07,Free,3.19.005,4.1 and up,BUSINESS,Business,Everyone
"MailChimp - Email, Marketing Automation",4.1,500000,0,1590,5448,1.20E+07,Free,4.9.1,5.0 and up,BUSINESS,Business,Everyone
Crew - Free Messaging and Scheduling,4.6,500000,0,1595,4159,4.80E+07,Free,6.1.2,4.0.3 and up,BUSINESS,Business,Everyone
Asana: organize team projects,4.3,1000000,0,1589,20815,1.00E+07,Free,6.4.4,5.0 and up,BUSINESS,Business,Everyone
Google Analytics,4.5,1000000,0,1752,78662,2.20E+07,Free,3.7.5,4.4 and up,BUSINESS,Business,Everyone
